"[30, 111]","[40, 77]","[50, 73]","[60, 92]"
"[30, 108]","[40, 76]","[50, 72]","[60, 90]"
"[30, 112]","[40, 78]","[50, 74]","[60, 90]"
"[30, 108]","[40, 76]","[50, 74]","[60, 89]"
"[30, 111]","[40, 75]","[50, 74]","[60, 88]"
"[30, 117]","[40, 77]","[50, 72]","[60, 89]"
"[30, 112]","[40, 79]","[50, 76]","[60, 91]"
"[30, 113]","[40, 76]","[50, 71]","[60, 89]"
"[30, 112]","[40, 76]","[50, 70]","[60, 89]"
"[30, 108]","[40, 77]","[50, 72]","[60, 91]"
"[30, 110]","[40, 75]","[50, 74]","[60, 92]"
"[30, 114]","[40, 76]","[50, 73]","[60, 88]"
"[30, 110]","[40, 79]","[50, 73]","[60, 91]"
"[30, 109]","[40, 79]","[50, 76]","[60, 93]"
"[30, 108]","[40, 74]","[50, 74]","[60, 94]"
"[30, 113]","[40, 78]","[50, 74]","[60, 90]"
"[30, 111]","[40, 78]","[50, 73]","[60, 87]"
"[30, 109]","[40, 79]","[50, 74]","[60, 93]"
"[30, 107]","[40, 75]","[50, 74]","[60, 89]"
"[30, 112]","[40, 75]","[50, 72]","[60, 92]"
"[30, 107]","[40, 76]","[50, 73]","[60, 91]"
