"[44.26891834202034, 171.73099769569893]"
"[54.7792870066409, 174.37186399467254]"
"[49.15602211717371, 177.11835208073015]"
"[49.66591271796401, 169.1345888339942]"
"[49.178009268932556, 177.1196968609718]"
"[44.15349562659738, 177.74501624322122]"
"[43.916844886440394, 181.73974421172622]"
"[49.46157305874683, 172.12769689640797]"
"[49.449855285504206, 175.13251219798647]"
"[49.312216210695944, 178.12965439974627]"
"[54.55080993314343, 180.36770449461568]"
"[49.28671420641888, 177.12630507731782]"
"[49.47994291670974, 178.1396387729893]"
"[49.41089807324307, 176.13197749774275]"
"[30.0, 176.44999998573857]","[49.46233616780302, 179.14033553267845]"
"[43.39792835838073, 186.71334638443332]"
"[44.077990808262776, 176.73424149372013]"
"[49.243495788857956, 177.1236859301113]"
"[49.175689465402, 181.12685278012083]"
