"[30, 148]","[40, 133]","[50, 127]","[60, 136]","[70, 177]"
"[30, 149]","[40, 133]","[50, 130]","[60, 142]","[70, 179]"
"[30, 155]","[40, 137]","[50, 133]","[60, 138]","[70, 174]"
"[30, 148]","[40, 134]","[50, 126]","[60, 144]","[70, 175]"
"[30, 150]","[40, 132]","[50, 133]","[60, 139]","[70, 175]"
"[30, 147]","[40, 135]","[50, 130]","[60, 144]","[70, 171]"
"[30, 147]","[40, 131]","[50, 129]","[60, 135]","[70, 165]"
"[30, 144]","[40, 134]","[50, 130]","[60, 133]","[70, 175]"
"[30, 148]","[40, 135]","[50, 128]","[60, 138]","[70, 177]"
"[30, 152]","[40, 133]","[50, 134]","[60, 139]","[70, 177]"
"[30, 144]","[40, 138]","[50, 125]","[60, 142]","[70, 173]"
"[30, 146]","[40, 132]","[50, 132]","[60, 139]","[70, 176]"
"[30, 147]","[40, 138]","[50, 132]","[60, 139]","[70, 170]"
"[30, 151]","[40, 133]","[50, 126]","[60, 138]","[70, 167]"
"[30, 151]","[40, 137]","[50, 127]","[60, 138]","[70, 175]"
"[30, 147]","[40, 136]","[50, 128]","[60, 142]","[70, 177]"
"[30, 150]","[40, 132]","[50, 130]","[60, 141]","[70, 175]"
"[30, 145]","[40, 132]","[50, 127]","[60, 139]","[70, 173]"
"[30, 146]","[40, 136]","[50, 132]","[60, 139]","[70, 175]"
"[30, 144]","[40, 132]","[50, 132]","[60, 141]","[70, 178]"
"[30, 147]","[40, 132]","[50, 130]","[60, 140]","[70, 173]"
"[30, 142]","[40, 132]","[50, 134]","[60, 141]","[70, 172]"
"[30, 147]","[40, 133]","[50, 130]","[60, 137]","[70, 175]"
"[30, 145]","[40, 132]","[50, 131]","[60, 142]","[70, 175]"
"[30, 146]","[40, 130]","[50, 131]","[60, 142]","[70, 171]"
"[30, 143]","[40, 133]","[50, 127]","[60, 139]","[70, 175]"
"[30, 149]","[40, 135]","[50, 128]","[60, 139]","[70, 174]"
"[30, 150]","[40, 132]","[50, 130]","[60, 137]","[70, 181]"
"[30, 149]","[40, 136]","[50, 130]","[60, 142]","[70, 173]"
"[30, 149]","[40, 133]","[50, 130]","[60, 139]","[70, 175]"
"[30, 156]","[40, 135]","[50, 128]","[60, 137]","[70, 176]"
"[30, 152]","[40, 132]","[50, 129]","[60, 137]","[70, 178]"
"[30, 145]","[40, 131]","[50, 131]","[60, 137]","[70, 173]"
"[30, 148]","[40, 134]","[50, 129]","[60, 144]","[70, 173]"
"[30, 148]","[40, 133]","[50, 133]","[60, 139]","[70, 171]"
"[30, 149]","[40, 136]","[50, 127]","[60, 140]","[70, 168]"
"[30, 146]","[40, 133]","[50, 131]","[60, 143]","[70, 177]"
"[30, 149]","[40, 129]","[50, 131]","[60, 140]","[70, 175]"
"[30, 151]","[40, 135]","[50, 133]","[60, 139]","[70, 176]"
"[30, 154]","[40, 136]","[50, 126]","[60, 139]","[70, 178]"
"[30, 143]","[40, 134]","[50, 133]","[60, 142]","[70, 169]"
"[30, 147]","[40, 132]","[50, 127]","[60, 138]","[70, 175]"
"[30, 146]","[40, 137]","[50, 131]","[60, 143]","[70, 171]"
"[30, 144]","[40, 136]","[50, 132]","[60, 141]","[70, 178]"
"[30, 149]","[40, 134]","[50, 127]","[60, 143]","[70, 172]"
"[30, 151]","[40, 133]","[50, 134]","[60, 140]","[70, 180]"
"[30, 143]","[40, 131]","[50, 127]","[60, 140]","[70, 176]"
"[30, 146]","[40, 135]","[50, 129]","[60, 140]","[70, 174]"
"[30, 146]","[40, 139]","[50, 128]","[60, 147]","[70, 176]"
"[30, 146]","[40, 136]","[50, 130]","[60, 135]","[70, 173]"
"[30, 149]","[40, 133]","[50, 128]","[60, 136]","[70, 171]"
"[30, 146]","[40, 131]","[50, 132]","[60, 144]","[70, 172]"
"[30, 147]","[40, 131]","[50, 133]","[60, 143]","[70, 175]"
