"[48.089495754318676, 93.69601051359827]"
"[47.888169115549665, 97.7021291922373]"
"[47.96220400744675, 96.70363924693325]"
"[44.587361519921174, 82.27214504862624]"
"[47.98595397990584, 97.71420161906798]"
"[44.68780383239876, 81.27658425063373]"
"[47.9875661476412, 95.69902785787656]"
"[47.765129158596395, 98.69453090913746]"
"[47.8128185719848, 96.68492700808157]"
"[48.011199255025055, 96.7097262765654]"
"[47.9875661476412, 95.69902785787656]"
"[44.5458281580515, 81.26717977917663]"
"[47.93788313893633, 95.69277814622625]"
"[48.082195645836016, 97.72598649588198]"
"[47.83729319618707, 95.6800453503008]"
"[44.70760585666384, 77.26896573310158]"
"[47.78877542261992, 97.68975614817994]"
"[44.5458281580515, 81.26717977917663]"
"[44.61279170066237, 80.26942434524285]"
"[47.93725267385459, 97.70820252318858]"
"[44.6272973231594, 83.27686695956932]"
"[44.50913842242375, 81.26470905525677]"
"[48.011199255025055, 96.7097262765654]"
"[48.1880146423309, 93.70848162624608]"
"[44.68780383239876, 81.27658425063373]"
"[44.5458281580515, 81.26717977917663]"
"[44.6077015417807, 79.26680022098911]"
"[44.61279170066237, 80.26942434524285]"
"[48.16088260165195, 94.71292265062782]"
"[44.551671164370056, 82.26978923684077]"
"[44.5458281580515, 81.26717977917663]"
"[47.61393887778046, 98.67567068939039]"
"[44.587361519921174, 82.27214504862624]"
"[48.011199255025055, 96.7097262765654]"
"[44.61279170066237, 80.26942434524285]"
"[48.056822777185474, 98.73025383305549]"
"[47.888169115549665, 97.7021291922373]"
"[44.703728190737976, 76.26632277912958]"
"[47.8128185719848, 96.68492700808157]"
"[48.0629425569245, 94.70062913965268]"
"[44.587361519921174, 82.27214504862624]"
"[48.0857362454922, 95.71129998292743]"
"[44.61775201997474, 81.27197491560176]"
"[47.468083340392084, 100.67300157423233]"
"[47.8128185719848, 96.68492700808157]"
"[44.57655764069721, 80.2669843389713]"
"[47.73848834588053, 97.683457324283]"
"[44.6530037446312, 81.27430177725113]"
"[47.8128185719848, 96.68492700808157]"
"[44.6077015417807, 79.26680022098911]"
"[44.61775201997474, 81.27197491560176]"
"[44.58202755563519, 81.26960116285017]"
"[44.58202755563519, 81.26960116285017]"
"[44.6530037446312, 81.27430177725113]"
"[44.5458281580515, 81.26717977917663]"
"[44.69168027382396, 82.27894154094582]"
"[47.888169115549665, 97.7021291922373]"
"[44.52775486163407, 84.27251648637994]"
"[44.60247257204763, 78.26409902609207]"
"[44.6530037446312, 81.27430177725113]"
"[44.6272973231594, 83.27686695956932]"
"[48.10798562876699, 96.72167547436688]"
"[44.5458281580515, 81.26717977917663]"
"[44.715065296667845, 79.2740315407035]"
"[44.61775201997474, 81.27197491560176]"
"[44.622581968198325, 82.27445457409749]"
"[47.6647302584916, 98.68203291861698]"
"[47.765129158596395, 98.69453090913746]"
