"[14.654180837437044, 102.30546578421519]","[62.62090167369686, 116.2698907422523]"
"[17.743724444216895, 113.28442376632067]","[68.89543161769657, 112.48733085998956]"
"[17.61671511418383, 113.25939723467015]","[68.35401672855606, 116.45537305747354]"
"[17.42429054519882, 112.20133616706453]","[68.55559404243962, 113.44090956036906]"
"[18.73955360309433, 107.3652455878093]","[67.66762580580296, 118.36159570509379]"
"[17.85272602903635, 112.28669001822031]","[68.40925618458502, 114.43094978106708]"
"[14.688864833831435, 100.28794287989679]","[62.98269986005326, 116.35449292597386]"
"[15.058295111150523, 101.35456553612492]","[63.65531182503552, 112.40400306630644]"
"[17.79333208264078, 111.25541061848557]","[68.22384842348303, 115.41361151416072]"
"[18.85322407515433, 106.36830485315208]","[68.22384842348303, 115.41361151416072]"
"[17.465709632566686, 114.2488857492336]","[67.68552481267507, 119.38243881360435]"
"[17.182899374576547, 113.17279897263542]","[67.9091562703031, 118.40691323255348]"
"[17.962561228524443, 111.28905509787474]","[68.0925642227797, 117.42387782357052]"
"[22.33933426828221, 114.14635508090589]","[73.31622424137605, 119.28895223985003]"
"[17.85272602903635, 112.28669001822031]","[68.51638661816348, 113.43349085746337]"
"[17.9204979708506, 111.28071718596347]","[68.02800002835116, 118.42902396481261]"
"[18.034650207720944, 113.34119250208721]","[68.61361810505068, 115.48647299313456]"
"[17.70154837753603, 113.27612979586796]","[68.15783014007026, 116.41873570190991]"
"[17.79333208264078, 111.25541061848557]","[67.56397932068927, 119.35965613385179]"
"[36.35787321786096, 98.88382057355467]","[84.70437280666171, 113.32633775782013]"
"[36.13669302000108, 98.80829388491782]","[84.6853648022509, 115.3276079477192]"
"[18.374779892300655, 111.36988471429765]","[68.44851931411245, 114.43834949487106]"
"[17.64051268181058, 112.24462492898114]","[67.46235085813869, 118.32268101509581]"
"[17.48594943543359, 115.27193946161472]","[68.39284146750066, 116.46258420605623]"
"[18.087836138139373, 111.31378880724564]","[68.46628946073679, 112.4059652780688]"
"[17.810602457668374, 112.27837263440864]","[68.43753604228097, 113.4185288640413]"
"[37.39516239335428, 96.06782533388007]","[84.68249389622494, 114.32640347422605]"
"[17.683273130851546, 112.25313644271408]","[68.82617277460955, 113.49172793270094]"
"[14.839588057628607, 101.32208252498502]","[63.762067237401816, 110.37424228780397]"
"[18.129291844970105, 111.32194134380649]","[68.35813344472946, 113.40340396646798]"
"[36.29284952348764, 99.91761860056525]","[84.75330623264901, 113.32861401485151]"
"[17.659215488371295, 113.26778824463477]","[68.43753604228097, 113.4185288640413]"
"[17.936503038797692, 112.30318155223752]","[68.89543161769657, 112.48733085998956]"
"[17.508405371470424, 114.25729941531532]","[68.13199223978846, 117.43122555897764]"
"[18.019669816189232, 112.31948889143673]","[68.19734788428325, 116.42614411645793]"
"[18.19835969680718, 110.31632237549626]","[68.52663020216347, 114.45303356417367]"
"[17.683273130851546, 112.25313644271408]","[67.46108173057392, 120.35779852897558]"
"[17.547756032806436, 116.30261946982955]","[67.97342985661894, 117.40158712495617]"
"[17.6647311988632, 111.22966451771438]","[68.56548592875028, 114.46031758384714]"
"[17.962561228524443, 111.28905509787474]","[68.48764329967037, 114.44571213976569]"
"[36.247624548131924, 98.84624382344406]","[84.67956856336978, 113.32517498937233]"
"[15.062681166566401, 99.33317188669439]","[62.64672746105775, 115.24842845320727]"
"[17.719556641325926, 114.2986619390698]","[69.00372986597881, 111.4901749896017]"
"[18.019669816189232, 112.31948889143673]","[68.22384842348303, 115.41361151416072]"
"[17.659215488371295, 113.26778824463477]","[68.30291741281897, 115.42850234792871]"
"[18.170581255665887, 111.33004525856312]","[68.45936855736265, 115.45780048288454]"
"[22.670703853914972, 111.13915633094352]","[73.63471751063469, 114.28420836726718]"
"[42.48801390835415, 109.59431407741667]"
"[17.315260943296018, 115.23847067218338]","[67.94891102252936, 118.41432335492898]"
"[17.894694650677533, 112.29496063529912]","[67.60463868365592, 119.36729146197894]"
"[17.531264725224435, 113.24247332646111]","[68.18410273417507, 115.40610724819446]"
"[18.15681042336341, 110.30810294055786]","[67.97342985661894, 117.40158712495617]"
"[17.810602457668374, 112.27837263440864]","[68.59466375660924, 113.44828783590974]"
"[18.046236703172923, 111.30559163264823]","[68.49813485881972, 115.4650239247905]"
"[17.9781671023795, 112.31135864596774]","[68.58501871542097, 112.42865182002221]"
